PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01000072,ASTHMA,2522,55,120.66244191775549,-65.66244191775549,-1.3075084026796766,False
E01000073,ASTHMA,2161,77,101.64825798852563,-24.64825798852563,-0.5302233478861953,False
E01000074,ASTHMA,2068,72,96.70035679484694,-24.70035679484694,-0.5431602248696381,False
E01000075,ASTHMA,2408,71,115.0438843219318,-44.0438843219318,-0.8975473562506349,False
E01000076,ASTHMA,2455,83,113.97878056771164,-30.978780567711638,-0.6252282175472268,False
E01000077,ASTHMA,2166,69,105.38642717781103,-36.38642717781103,-0.7818261416541683,False
E01000078,ASTHMA,2155,71,101.65329349706431,-30.65329349706431,-0.6603185627234077,False
E01000079,ASTHMA,2117,63,100.0023240683586,-37.002324068358604,-0.8042083414320127,False
E01000080,ASTHMA,2019,61,94.83857922685549,-33.83857922685549,-0.7530849363078489,False
E01000081,ASTHMA,2259,69,105.78626430250642,-36.786264302506424,-0.7739761379539521,False
E01000082,ASTHMA,2108,46,95.99587228915627,-49.99587228915627,-1.088927201718341,False
E01000083,ASTHMA,2181,59,104.20258994963105,-45.20258994963105,-0.9679111354568881,False
E01000084,ASTHMA,1799,68,84.1044185854058,-16.104418585405796,-0.3796902704657589,False
E01000085,ASTHMA,2061,83,96.23445156432932,-13.23445156432932,-0.2915190586843591,False
E01000086,ASTHMA,1839,79,89.67203773001636,-10.672037730016356,-0.24886079683129403,False
E01000087,ASTHMA,1999,66,93.27168824552723,-27.27168824552723,-0.6099659983475998,False
E01000088,ASTHMA,2335,75,109.2825208318099,-34.282520831809904,-0.7094622732509268,False
E01000089,ASTHMA,2264,88,103.3766995715043,-15.376699571504304,-0.32316544578583295,False
E01000090,ASTHMA,2366,84,109.86715184496225,-25.86715184496225,-0.5317913174478363,False
E01000091,ASTHMA,2713,80,131.33789620991396,-51.337896209913964,-0.9856283136144993,False
E01000092,ASTHMA,7603,229,348.5143523084829,-119.5143523084829,-1.3706531451898416,False
E01000093,ASTHMA,2350,85,114.58140681666842,-29.58140681666842,-0.6102178296987302,False
E01000094,ASTHMA,3017,96,132.5203086701921,-36.520308670192094,-0.6648853815174119,False
E01000095,ASTHMA,3995,139,180.45770271494922,-41.45770271494922,-0.6559139100690384,False
E01000096,ASTHMA,1990,63,94.11944767835094,-31.119447678350937,-0.6975981852349,False
E01000097,ASTHMA,2270,69,114.70330509158225,-45.70330509158225,-0.9592563419884401,False
E01000098,ASTHMA,2343,64,116.68833171885228,-52.68833171885228,-1.0884996740779014,False
E01000099,ASTHMA,3263,103,148.9219006578067,-45.9219006578067,-0.8039171949119162,False
E01000100,ASTHMA,1989,59,94.82646781208739,-35.82646781208739,-0.803316340072526,False
E01000101,ASTHMA,2244,90,109.08845792526425,-19.08845792526425,-0.4029576626406681,False
E01000102,ASTHMA,2263,67,112.12244393407622,-45.122443934076216,-0.9485283963513511,False
E01000103,ASTHMA,2115,109,99.19865692525215,9.801343074747848,0.2131230413761988,False
E01000104,ASTHMA,2238,103,105.9394343893346,-2.9394343893345933,-0.06213463188541931,False
E01000105,ASTHMA,2893,116,139.61442536853247,-23.614425368532466,-0.4390390653391543,False
E01000106,ASTHMA,2950,127,140.27265274757804,-13.272652747578036,-0.24436934463197563,False
E01000107,ASTHMA,2042,84,96.26523395509257,-12.265233955092569,-0.2714238258310674,False
E01000108,ASTHMA,2207,76,99.75209301080086,-23.752093010800863,-0.5055926114124669,False
E01000109,ASTHMA,3488,101,157.44463989597466,-56.44463989597466,-0.9557283494984598,False
E01000110,ASTHMA,1811,86,84.05891397116255,1.9410860288374465,0.04561267667569808,False
E01000111,ASTHMA,2387,123,111.82078850152045,11.179211498479546,0.22881524858271657,False
E01000112,ASTHMA,2428,105,112.35434708672373,-7.354347086723735,-0.149251870022147,False
E01000113,ASTHMA,2422,108,111.20466461624142,-3.2046646162414163,-0.06511716969950182,False
E01000114,ASTHMA,2933,98,130.47556207469734,-32.475562074697336,-0.599653875635877,False
E01001637,ASTHMA,1,0,0.030240452773566528,-0.030240452773566528,-0.030240452773566528,False
E01001714,ASTHMA,2535,144,114.15899920286874,29.841000797131258,0.5926856365202646,False
E01001715,ASTHMA,1375,75,58.92963956585983,16.07036043414017,0.4333853917772812,False
E01001716,ASTHMA,1846,127,84.71040211693769,42.289597883062314,0.9842778394203276,False
E01001717,ASTHMA,1194,74,54.82876369502583,19.171236304974173,0.5548146969551367,False
E01001718,ASTHMA,1333,66,53.30487091572743,12.695129084272573,0.34771389544858505,False
E01001719,ASTHMA,1851,129,84.53025175772953,44.46974824227047,1.0336213263647382,False
E01001720,ASTHMA,1597,93,64.44691629400768,28.55308370599232,0.7144972481026619,False
E01001722,ASTHMA,2962,127,133.08273738076997,-6.08273738076997,-0.11176518448516731,False
E01001723,ASTHMA,2668,121,112.78282769274927,8.217172307250735,0.15908509119186304,False
E01001724,ASTHMA,2986,150,127.94674794158617,22.053252058413833,0.4035782377132984,False
E01001725,ASTHMA,2692,113,110.23862460552697,2.761375394473035,0.0532215995503032,False
E01001726,ASTHMA,1969,105,88.62445628802739,16.37554371197261,0.369039514774599,False
E01001727,ASTHMA,2536,80,103.95786853669206,-23.95786853669206,-0.4757442553919223,False
E01001728,ASTHMA,2589,81,107.70132186340346,-26.701321863403464,-0.5247672659123692,False
E01001729,ASTHMA,2406,118,115.29406432865407,2.7059356713459266,0.05516576643303294,False
E01001730,ASTHMA,3279,166,155.5340421104946,10.465957889505404,0.18277141522711732,False
E01001731,ASTHMA,3273,141,142.6292492814061,-1.6292492814060893,-0.02847833113114874,False
E01001732,ASTHMA,2409,124,114.90798148252026,9.092018517479744,0.18524304513514142,False
E01001733,ASTHMA,2316,118,104.52738325617368,13.472616743826322,0.2799514221415566,False
E01001734,ASTHMA,2444,136,111.89438131281452,24.105618687185483,0.48760447379926836,False
E01001735,ASTHMA,1935,133,93.13172585889254,39.86827414110746,0.9063312429564114,False
E01001736,ASTHMA,1764,98,76.83174346319842,21.16825653680158,0.5040061080190852,False
E01001737,ASTHMA,2020,143,89.1094571469385,53.890542853061504,1.1990488410678555,False
E01001738,ASTHMA,1427,105,63.13750941159424,41.86249058840576,1.1081870641778784,False
E01001739,ASTHMA,1498,89,67.55118003746075,21.448819962539247,0.5541757237862917,False
E01001740,ASTHMA,1449,85,71.37375476319336,13.62624523680664,0.3579661889697764,False
E01001741,ASTHMA,1603,123,69.19122119466131,53.80877880533869,1.343960097596389,False
E01001742,ASTHMA,2102,149,97.74966889084273,51.25033110915727,1.1178417339451512,False
E01001744,ASTHMA,2785,143,127.3577587270184,15.642241272981593,0.2964055836739496,False
E01001745,ASTHMA,2809,162,133.30282647975486,28.697173520245144,0.5414561041555688,False
E01001746,ASTHMA,1886,97,91.49979783616944,5.500202163830565,0.12665076237966424,False
E01001747,ASTHMA,3206,189,139.69092936163483,49.30907063836517,0.8708534128262309,False
E01001748,ASTHMA,3357,144,148.24951027562918,-4.249510275629177,-0.07334376719720617,False
E01001749,ASTHMA,2171,117,99.26665937315538,17.733340626844623,0.3805928669181922,False
E01001750,ASTHMA,2718,132,119.89782013387882,12.102179866121176,0.23213406525145144,False
E01001751,ASTHMA,1197,58,49.129058300699874,8.870941699300126,0.2564027328843459,False
E01001752,ASTHMA,2589,128,108.52939953090402,19.470600469095984,0.3826602228200407,False
E01001753,ASTHMA,1788,111,83.46022411980199,27.539775880198007,0.6512933508187916,False
E01001754,ASTHMA,3907,214,170.37491892656044,43.62508107343956,0.6979342986981305,False
E01001755,ASTHMA,2204,140,102.53445608514093,37.46554391485907,0.7980429160403663,False
