PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01000072,ASTHMA,2522,55,120.66244191774635,-65.66244191774635,-1.3075084026794945,False
E01000073,ASTHMA,2161,77,101.64825798851837,-24.648257988518367,-0.5302233478860391,False
E01000074,ASTHMA,2068,72,96.70035679484286,-24.70035679484286,-0.5431602248695484,False
E01000075,ASTHMA,2408,71,115.0438843219258,-44.0438843219258,-0.8975473562505126,False
E01000076,ASTHMA,2455,83,113.97878056770651,-30.978780567706508,-0.6252282175471233,False
E01000077,ASTHMA,2166,69,105.3864271778043,-36.38642717780429,-0.7818261416540235,False
E01000078,ASTHMA,2155,71,101.65329349705864,-30.65329349705864,-0.6603185627232855,False
E01000079,ASTHMA,2117,63,100.00232406835606,-37.00232406835606,-0.8042083414319574,False
E01000080,ASTHMA,2019,61,94.83857922685232,-33.83857922685232,-0.7530849363077784,False
E01000081,ASTHMA,2259,69,105.78626430250424,-36.786264302504236,-0.7739761379539062,False
E01000082,ASTHMA,2108,46,95.99587228915708,-49.99587228915708,-1.0889272017183584,False
E01000083,ASTHMA,2181,59,104.20258994962325,-45.202589949623246,-0.967911135456721,False
E01000084,ASTHMA,1799,68,84.10441858540133,-16.104418585401334,-0.3796902704656536,False
E01000085,ASTHMA,2061,83,96.23445156432625,-13.23445156432625,-0.2915190586842915,False
E01000086,ASTHMA,1839,79,89.67203773001441,-10.67203773001441,-0.24886079683124862,False
E01000087,ASTHMA,1999,66,93.27168824552567,-27.271688245525667,-0.6099659983475648,False
E01000088,ASTHMA,2335,75,109.28252083180946,-34.282520831809464,-0.7094622732509176,False
E01000089,ASTHMA,2264,88,103.37669957150362,-15.376699571503622,-0.32316544578581863,False
E01000090,ASTHMA,2366,84,109.86715184495992,-25.86715184495992,-0.5317913174477883,False
E01000091,ASTHMA,2713,80,131.33789620990208,-51.337896209902084,-0.9856283136142713,False
E01000092,ASTHMA,7603,229,348.5143523084563,-119.5143523084563,-1.3706531451895365,False
E01000093,ASTHMA,2350,85,114.5814068166576,-29.581406816657605,-0.610217829698507,False
E01000094,ASTHMA,3017,96,132.5203086701886,-36.5203086701886,-0.6648853815173483,False
E01000095,ASTHMA,3995,139,180.4577027149396,-41.457702714939586,-0.655913910068886,False
E01000096,ASTHMA,1990,63,94.11944767834346,-31.119447678343462,-0.6975981852347324,False
E01000097,ASTHMA,2270,69,114.70330509157304,-45.70330509157304,-0.9592563419882468,False
E01000098,ASTHMA,2343,64,116.68833171884025,-52.688331718840246,-1.0884996740776527,False
E01000099,ASTHMA,3263,103,148.92190065779914,-45.92190065779914,-0.8039171949117838,False
E01000100,ASTHMA,1989,59,94.82646781208301,-35.82646781208301,-0.8033163400724278,False
E01000101,ASTHMA,2244,90,109.0884579252544,-19.088457925254403,-0.40295766264046023,False
E01000102,ASTHMA,2263,67,112.122443934066,-45.122443934066,-0.9485283963511363,False
E01000103,ASTHMA,2115,109,99.19865692525178,9.801343074748218,0.21312304137620686,False
E01000104,ASTHMA,2238,103,105.93943438933263,-2.9394343893326322,-0.06213463188537786,False
E01000105,ASTHMA,2893,116,139.61442536852567,-23.614425368525673,-0.43903906533902803,False
E01000106,ASTHMA,2950,127,140.272652747568,-13.272652747568003,-0.2443693446317909,False
E01000107,ASTHMA,2042,84,96.26523395509379,-12.265233955093791,-0.2714238258310944,False
E01000108,ASTHMA,2207,76,99.75209301080034,-23.752093010800337,-0.5055926114124557,False
E01000109,ASTHMA,3488,101,157.4446398959666,-56.44463989596659,-0.9557283494983231,False
E01000110,ASTHMA,1811,86,84.05891397116326,1.941086028836736,0.045612676675681384,False
E01000111,ASTHMA,2387,123,111.82078850151676,11.179211498483241,0.2288152485827922,False
E01000112,ASTHMA,2428,105,112.35434708671986,-7.354347086719855,-0.14925187002206824,False
E01000113,ASTHMA,2422,108,111.20466461623735,-3.204664616237352,-0.06511716969941923,False
E01000114,ASTHMA,2933,98,130.47556207469168,-32.47556207469168,-0.5996538756357725,False
E01001637,ASTHMA,1,0,0.030240452773567534,-0.030240452773567534,-0.030240452773567534,False
E01001714,ASTHMA,2535,144,114.15899920285602,29.841000797143977,0.5926856365205173,False
E01001715,ASTHMA,1375,75,58.92963956586213,16.070360434137868,0.43338539177721913,False
E01001716,ASTHMA,1846,127,84.71040211693118,42.28959788306882,0.9842778394204791,False
E01001717,ASTHMA,1194,74,54.82876369502528,19.17123630497472,0.5548146969551526,False
E01001718,ASTHMA,1333,66,53.30487091573144,12.695129084268558,0.3477138954484751,False
E01001719,ASTHMA,1851,129,84.53025175772403,44.46974824227597,1.0336213263648661,False
E01001720,ASTHMA,1597,93,64.44691629401672,28.553083705983283,0.7144972481024358,False
E01001722,ASTHMA,2962,127,133.08273738076036,-6.0827373807603635,-0.1117651844849908,False
E01001723,ASTHMA,2668,121,112.78282769274423,8.217172307255765,0.15908509119196043,False
E01001724,ASTHMA,2986,150,127.94674794158564,22.05325205841436,0.40357823771330803,False
E01001725,ASTHMA,2692,113,110.23862460551294,2.761375394487061,0.05322159955057354,False
E01001726,ASTHMA,1969,105,88.62445628801872,16.37554371198128,0.36903951477479435,False
E01001727,ASTHMA,2536,80,103.9578685366814,-23.957868536681403,-0.4757442553917106,False
E01001728,ASTHMA,2589,81,107.70132186338753,-26.701321863387534,-0.5247672659120561,False
E01001729,ASTHMA,2406,118,115.2940643286469,2.705935671353103,0.05516576643317925,False
E01001730,ASTHMA,3279,166,155.53404211048144,10.465957889518563,0.1827714152273471,False
E01001731,ASTHMA,3273,141,142.62924928140356,-1.6292492814035597,-0.028478331131104526,False
E01001732,ASTHMA,2409,124,114.90798148251343,9.092018517486565,0.1852430451352804,False
E01001733,ASTHMA,2316,118,104.52738325617328,13.47261674382672,0.2799514221415649,False
E01001734,ASTHMA,2444,136,111.89438131281028,24.10561868718972,0.487604473799354,False
E01001735,ASTHMA,1935,133,93.13172585889114,39.868274141108856,0.9063312429564431,False
E01001736,ASTHMA,1764,98,76.8317434632064,21.168256536793606,0.5040061080188953,False
E01001737,ASTHMA,2020,143,89.10945714694428,53.89054285305572,1.199048841067727,False
E01001738,ASTHMA,1427,105,63.13750941159847,41.86249058840153,1.1081870641777662,False
E01001739,ASTHMA,1498,89,67.55118003746657,21.448819962533435,0.5541757237861414,False
E01001740,ASTHMA,1449,85,71.37375476318704,13.626245236812963,0.3579661889699425,False
E01001741,ASTHMA,1603,123,69.19122119467225,53.80877880532775,1.3439600975961157,False
E01001742,ASTHMA,2102,149,97.74966889084504,51.250331109154956,1.1178417339451006,False
E01001744,ASTHMA,2785,143,127.35775872701707,15.642241272982929,0.2964055836739749,False
E01001745,ASTHMA,2809,162,133.3028264797473,28.697173520252704,0.5414561041557114,False
E01001746,ASTHMA,1886,97,91.49979783616396,5.500202163836036,0.12665076237979023,False
E01001747,ASTHMA,3206,189,139.69092936163264,49.30907063836736,0.8708534128262695,False
E01001748,ASTHMA,3357,144,148.24951027562648,-4.249510275626477,-0.07334376719715957,False
