effect_modifier,modifier_value,ethnic_group,odds_ratio,lower_ci,upper_ci,phenotype
age_band,0_minus_17,Black,0.6042526116615397,0.48753676849297267,0.7489101177505431,ASTHMA
age_band,18_minus_24,Black,0.6891518147468763,0.5404923575660981,0.878699239907074,ASTHMA
age_band,25_minus_34,Black,0.6372866337348297,0.5105293757957039,0.7955159346199734,ASTHMA
age_band,35_minus_44,Black,0.6348583195708827,0.5055178988416351,0.7972914249958694,ASTHMA
age_band,55_minus_64,Black,1.0885553196765214,0.8570029761949141,1.382670442122889,ASTHMA
age_band,65_minus_74,Black,1.2655444099094613,0.9635299093531404,1.6622241177010397,ASTHMA
age_band,75_plus_,Black,1.2894130819727534,0.9437786262375492,1.7616271970372013,ASTHMA
age_band,0_minus_17,East_Or_Other_Asian,0.45885025944177793,0.34687355509708356,0.6069749552711208,ASTHMA
age_band,18_minus_24,East_Or_Other_Asian,0.49011212610027155,0.35933570505036483,0.6684832394177483,ASTHMA
age_band,25_minus_34,East_Or_Other_Asian,0.3894524193372433,0.29483053063113296,0.5144419290734603,ASTHMA
age_band,35_minus_44,East_Or_Other_Asian,0.45829070518501636,0.3437177751264168,0.6110547247134135,ASTHMA
age_band,55_minus_64,East_Or_Other_Asian,0.8271744058032953,0.608178220541396,1.1250279515220865,ASTHMA
age_band,65_minus_74,East_Or_Other_Asian,0.9887731301380723,0.7040684989813163,1.3886039558616663,ASTHMA
age_band,75_plus_,East_Or_Other_Asian,0.9815442181395538,0.6661625602383769,1.446237164421907,ASTHMA
age_band,0_minus_17,South_Asian,0.8536508467580112,0.703100052774301,1.036438221409994,ASTHMA
age_band,18_minus_24,South_Asian,0.8280900287444002,0.6635360564026148,1.0334526497680152,ASTHMA
age_band,25_minus_34,South_Asian,0.5765429506862455,0.47119485583110443,0.7054444034617154,ASTHMA
age_band,35_minus_44,South_Asian,0.6975233973307643,0.5668197409995067,0.8583661694031836,ASTHMA
age_band,55_minus_64,South_Asian,1.3897470768795628,1.1081556776412396,1.7428931481958891,ASTHMA
age_band,65_minus_74,South_Asian,1.711360355911501,1.3237254143726387,2.2125089055373173,ASTHMA
age_band,75_plus_,South_Asian,1.6635914932421463,1.237640400925998,2.236139555816838,ASTHMA
age_band,0_minus_17,White,0.45603612919088915,0.3759367110100417,0.553202028524036,ASTHMA
age_band,18_minus_24,White,0.5529321535518953,0.44284541256881965,0.6903853077263722,ASTHMA
age_band,25_minus_34,White,0.6172758768446432,0.5071743958236159,0.7512790694324342,ASTHMA
age_band,35_minus_44,White,0.5563634654094186,0.4542388161946846,0.6814483804697787,ASTHMA
age_band,55_minus_64,White,1.0871689957425283,0.8727772329459188,1.3542246299372196,ASTHMA
age_band,65_minus_74,White,1.2023137738288616,0.936448695591442,1.5436600184760934,ASTHMA
age_band,75_plus_,White,1.1218911198780837,0.8442289924300778,1.4908747462443326,ASTHMA
imd_rank,0.0,Black,1.0037609093745474,0.9355215924219121,1.0769777751255027,ASTHMA
imd_rank,0.05263157894736842,Black,0.9895513771739644,0.9133349252462006,1.0721279795612009,ASTHMA
imd_rank,0.10526315789473684,Black,0.9755429992557146,0.8916744332056793,1.0673000233677372,ASTHMA
imd_rank,0.15789473684210525,Black,0.9617329280211067,0.870527637622469,1.0624938081990862,ASTHMA
imd_rank,0.21052631578947367,Black,0.9481183561828866,0.8498823557608425,1.0577092361520894,ASTHMA
imd_rank,0.2631578947368421,Black,0.9346965161945778,0.8297266938087114,1.0529462097644615,ASTHMA
imd_rank,0.3157894736842105,Black,0.9214646796878987,0.8100490400255638,1.0482046320128044,ASTHMA
imd_rank,0.3684210526315789,Black,0.9084201569181448,0.7908380580529036,1.0434844063106317,ASTHMA
imd_rank,0.42105263157894735,Black,0.8955602962174225,0.7720826803833387,1.0387854365063998,ASTHMA
imd_rank,0.47368421052631576,Black,0.882882483455622,0.753772101984555,1.0341076268815512,ASTHMA
imd_rank,0.5263157894736842,Black,0.870384141509022,0.7358957740745035,1.029450882148563,ASTHMA
imd_rank,0.5789473684210527,Black,0.8580627297364161,0.7184433980442128,1.0248151074490073,ASTHMA
imd_rank,0.631578947368421,Black,0.8459157434626559,0.7014049195247289,1.0202002083516173,ASTHMA
